site,county,pm25,datacreationdate,itemunit
沙鹿,臺中市,21.0,2026-04-01 07:00,μg/m3
豐原,臺中市,24.0,2026-04-01 07:00,μg/m3
三義,苗栗縣,23.0,2026-04-01 07:00,μg/m3
苗栗,苗栗縣,17.0,2026-04-01 07:00,μg/m3
頭份,苗栗縣,9.0,2026-04-01 07:00,μg/m3
新竹,新竹市,5.0,2026-04-01 07:00,μg/m3
竹東,新竹縣,16.0,2026-04-01 07:00,μg/m3
湖口,新竹縣,8.0,2026-04-01 07:00,μg/m3
龍潭,桃園市,7.0,2026-04-01 07:00,μg/m3
平鎮,桃園市,9.0,2026-04-01 07:00,μg/m3
觀音,桃園市,7.0,2026-04-01 07:00,μg/m3
大園,桃園市,8.0,2026-04-01 07:00,μg/m3
桃園,桃園市,5.0,2026-04-01 07:00,μg/m3
大同,臺北市,9.0,2026-04-01 07:00,μg/m3
松山,臺北市,10.0,2026-04-01 07:00,μg/m3
古亭,臺北市,6.0,2026-04-01 07:00,μg/m3
萬華,臺北市,7.0,2026-04-01 07:00,μg/m3
中山,臺北市,10.0,2026-04-01 07:00,μg/m3
士林,臺北市,4.0,2026-04-01 07:00,μg/m3
淡水,新北市,9.0,2026-04-01 07:00,μg/m3
林口,新北市,6.0,2026-04-01 07:00,μg/m3
菜寮,新北市,5.0,2026-04-01 07:00,μg/m3
新莊,新北市,8.0,2026-04-01 07:00,μg/m3
板橋,新北市,9.0,2026-04-01 07:00,μg/m3
土城,新北市,9.0,2026-04-01 07:00,μg/m3
新店,新北市,12.0,2026-04-01 07:00,μg/m3
汐止,新北市,11.0,2026-04-01 07:00,μg/m3
基隆,基隆市,8.0,2026-04-01 07:00,μg/m3
林森,臺南市,34,2026-04-01 19:00,μg/m3
員林,彰化縣,16,2026-04-01 19:00,μg/m3
臺灣大道,臺中市,11,2026-04-01 19:00,μg/m3
大城,彰化縣,11,2026-04-01 19:00,μg/m3
富貴角,新北市,4,2026-04-01 19:00,μg/m3
麥寮,雲林縣,17,2026-04-01 19:00,μg/m3
關山,臺東縣,6,2026-04-01 19:00,μg/m3
馬公,澎湖縣,5,2026-04-01 19:00,μg/m3
金門,金門縣,7,2026-04-01 19:00,μg/m3
馬祖,連江縣,3,2026-04-01 19:00,μg/m3
埔里,南投縣,22,2026-04-01 19:00,μg/m3
復興,高雄市,22,2026-04-01 19:00,μg/m3
永和,新北市,7,2026-04-01 19:00,μg/m3
竹山,南投縣,30,2026-04-01 19:00,μg/m3
中壢,桃園市,10,2026-04-01 19:00,μg/m3
三重,新北市,10,2026-04-01 19:00,μg/m3
冬山,宜蘭縣,9,2026-04-01 19:00,μg/m3
宜蘭,宜蘭縣,9,2026-04-01 19:00,μg/m3
陽明,臺北市,6,2026-04-01 19:00,μg/m3
花蓮,花蓮縣,8,2026-04-01 19:00,μg/m3
臺東,臺東縣,,2026-04-01 19:00,μg/m3
恆春,屏東縣,18,2026-04-01 19:00,μg/m3
潮州,屏東縣,32,2026-04-01 19:00,μg/m3
